name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Burger King - Bellandur,No,No,4.1/5,1104,HSR Layout,Desserts,Biryani,200,Desserts,HSR Layout
Absolute Barbecues - Yelahanka,Yes,No,4.9/5,159,BTM,Bakery,South Indian,200,Bakery,BTM
Burger King - KR Puram,No,No,3.7/5,3457,Malleshwaram,Lounge,Rolls,700,Lounge,Malleshwaram
Blue Tokai - MG Road,No,No,NEW,0,Whitefield,Bakery,South Indian,400,Bakery,Whitefield
Vasudev Adiga's - Basavanagudi,No,Yes,NEW,0,Indiranagar,Bakery,Mughlai,200,Bakery,Indiranagar
Brahmin's Coffee Bar - Hebbal,No,Yes,4.2/5,2668,Yelahanka,Pub,Gujarati,550,Pub,Yelahanka
The Fatty Bao - Whitefield,No,No,4.0/5,3053,Marathahalli,Mess,Continental,100,Mess,Marathahalli
Vidyarthi Bhavan - Malleshwaram,Yes,No,5.0/5,3380,JP Nagar,Delivery,Chinese,300,Delivery,JP Nagar
Barbeque Nation - Whitefield,Yes,Yes,3.5/5,3115,KR Puram,Dhaba,Street Food,250,Dhaba,KR Puram
Hotel Suprabhatha - Sarjapur Road,Yes,Yes,4.0/5,200,BTM,Fine Dining,Italian,900,Fine Dining,BTM
New Krishna Bhavan - Banashankari,Yes,No,4.6/5,1307,Marathahalli,Dhaba,Bengali,150,Dhaba,Marathahalli
Burger King - Shivajinagar,Yes,No,4.6/5,2194,Jayanagar,Quick Bites,Chinese,200,Quick Bites,Jayanagar
Truffles - Marathahalli,Yes,No,2.9/5,3475,Rajajinagar,Sweet Shop,Pizza,300,Sweet Shop,Rajajinagar
Rajadhani - BTM,Yes,No,3.8/5,4806,Marathahalli,Pub,Fast Food,350,Pub,Marathahalli
Toit - HSR Layout,Yes,No,4.6/5,4089,Whitefield,Bar,Fast Food,650,Bar,Whitefield
Blue Tokai - Shivajinagar,Yes,No,5.0/5,1769,Shivajinagar,Café,Andhra,300,Café,Shivajinagar
Café Coffee Day - Indiranagar,No,No,4.1/5,3255,Marathahalli,Fine Dining,Street Food,950,Fine Dining,Marathahalli
The Only Place - MG Road,No,No,3.5/5,2594,Indiranagar,Café,South Indian,300,Café,Indiranagar
Vidyarthi Bhavan - Yelahanka,Yes,No,3.3/5,1938,Yelahanka,Food Court,Chinese,150,Food Court,Yelahanka
Toit - Shivajinagar,No,No,4.8/5,1232,Sarjapur Road,Lounge,Andhra,800,Lounge,Sarjapur Road
MTR - Hebbal,Yes,No,4.2/5,4967,Whitefield,Casual Dining,Chinese,250,Casual Dining,Whitefield
New Krishna Bhavan - Shivajinagar,Yes,No,3.4/5,574,Sarjapur Road,Bar,Fast Food,350,Bar,Sarjapur Road
McDonald's - Electronic City,Yes,Yes,3.7/5,81,Basavanagudi,Fine Dining,Biryani,800,Fine Dining,Basavanagudi
Keventers - Koramangala,Yes,Yes,4.0/5,262,Bellandur,Delivery,Rolls,200,Delivery,Bellandur
Absolute Barbecues - Bellandur,No,No,4.0/5,3838,BTM,Delivery,Rajasthani,150,Delivery,BTM
Starbucks - BTM,No,No,3.3/5,2970,Yelahanka,Fine Dining,Rajasthani,700,Fine Dining,Yelahanka
Dindigul Thalappakatti - Sarjapur Road,Yes,No,3.5/5,285,Basavanagudi,Desserts,Rolls,150,Desserts,Basavanagudi
Sri Sairam Vegetarian - Jayanagar,Yes,No,3.0/5,22,Whitefield,Bar,Burgers,900,Bar,Whitefield
MTR - Shivajinagar,Yes,Yes,4.4/5,3667,Rajajinagar,Casual Dining,South Indian,450,Casual Dining,Rajajinagar
Pizza Hut - Sarjapur Road,Yes,No,3.7/5,3990,Whitefield,Lounge,Pizza,650,Lounge,Whitefield
Vidyarthi Bhavan - Shivajinagar,Yes,No,NEW,0,Whitefield,Café,Italian,400,Café,Whitefield
Barbeque Nation - Koramangala,Yes,No,4.6/5,4301,Sarjapur Road,Lounge,Continental,650,Lounge,Sarjapur Road
Nandhini Hotel - JP Nagar,No,No,3.8/5,1455,Rajajinagar,Casual Dining,Gujarati,350,Casual Dining,Rajajinagar
Meghana Foods - Marathahalli,No,No,3.6/5,94,Jayanagar,Mess,Kerala,150,Mess,Jayanagar
Toit - MG Road,Yes,No,3.9/5,2522,KR Puram,Bakery,Bengali,200,Bakery,KR Puram
New Krishna Bhavan - Yelahanka,No,No,3.7/5,136,Yelahanka,Lounge,Gujarati,500,Lounge,Yelahanka
New Krishna Bhavan - Hebbal,Yes,No,4.5/5,2037,Banashankari,Fine Dining,Biryani,1000,Fine Dining,Banashankari
Wow Momo - Jayanagar,Yes,No,4.0/5,2249,KR Puram,Bakery,South Indian,250,Bakery,KR Puram
McDonald's - BTM,Yes,No,3.6/5,3670,KR Puram,Bar,Street Food,650,Bar,KR Puram
The Only Place - Indiranagar,Yes,No,4.4/5,4169,Indiranagar,Dhaba,Biryani,150,Dhaba,Indiranagar
Burger King - Electronic City,No,No,4.3/5,1345,Basavanagudi,Dhaba,Rolls,250,Dhaba,Basavanagudi
Burger King - Basavanagudi,Yes,No,NEW,0,Banashankari,Pub,Fast Food,400,Pub,Banashankari
Brahmin's Coffee Bar - Yelahanka,Yes,No,4.6/5,2684,Basavanagudi,Lounge,Desserts,300,Lounge,Basavanagudi
Kanti Sweets - JP Nagar,Yes,No,4.0/5,999,Malleshwaram,Dhaba,Italian,150,Dhaba,Malleshwaram
Keventers - Jayanagar,Yes,No,4.0/5,3237,Bellandur,Café,Rajasthani,350,Café,Bellandur
Third Wave Coffee - Hebbal,No,No,4.2/5,1024,Marathahalli,Pub,Street Food,900,Pub,Marathahalli
Subway - BTM,Yes,Yes,3.6/5,4386,Whitefield,Bar,Andhra,700,Bar,Whitefield
Cream Stone - Marathahalli,Yes,Yes,NEW,0,Hebbal,Desserts,Kerala,150,Desserts,Hebbal
Shivaji Military Hotel - Sarjapur Road,Yes,No,3.7/5,4203,KR Puram,Sweet Shop,Rajasthani,150,Sweet Shop,KR Puram
Byg Brewski - KR Puram,Yes,No,3.1/5,2645,Sarjapur Road,Casual Dining,Fast Food,600,Casual Dining,Sarjapur Road
The Only Place - Sarjapur Road,Yes,No,NEW,0,Koramangala,Café,North Indian,400,Café,Koramangala
Sri Sairam Vegetarian - Banashankari,No,Yes,4.0/5,1833,Koramangala,Pub,Gujarati,750,Pub,Koramangala
Social - Sarjapur Road,Yes,No,3.4/5,2250,Banashankari,Bar,Mughlai,800,Bar,Banashankari
Cream Stone - KR Puram,No,No,4.5/5,3634,JP Nagar,Quick Bites,Fast Food,200,Quick Bites,JP Nagar
Subway - MG Road,No,No,4.3/5,1498,Bellandur,Food Court,Gujarati,300,Food Court,Bellandur
Starbucks - Hebbal,No,No,4.4/5,568,KR Puram,Desserts,Mughlai,200,Desserts,KR Puram
Subway - Bellandur,Yes,Yes,3.9/5,4259,Shivajinagar,Food Court,Andhra,350,Food Court,Shivajinagar
Corner House - Banashankari,Yes,No,4.0/5,1292,Jayanagar,Casual Dining,South Indian,450,Casual Dining,Jayanagar
Third Wave Coffee - Malleshwaram,Yes,No,NEW,0,Indiranagar,Food Court,Desserts,100,Food Court,Indiranagar
Wow Momo - BTM,No,Yes,4.2/5,2645,KR Puram,Pub,Continental,850,Pub,KR Puram
Blue Tokai - Whitefield,Yes,Yes,NEW,0,Hebbal,Mess,North Indian,100,Mess,Hebbal
Cream Stone - Indiranagar,Yes,Yes,4.1/5,3621,Shivajinagar,Fine Dining,Continental,900,Fine Dining,Shivajinagar
Rajadhani - JP Nagar,Yes,No,4.7/5,531,HSR Layout,Bar,Pizza,900,Bar,HSR Layout
Vidyarthi Bhavan - Banashankari,Yes,No,3.5/5,1989,Sarjapur Road,Café,Chinese,200,Café,Sarjapur Road
Shivaji Military Hotel - Yelahanka,Yes,No,3.8/5,608,Basavanagudi,Quick Bites,Chinese,100,Quick Bites,Basavanagudi
McDonald's - KR Puram,Yes,Yes,4.0/5,1082,Bellandur,Beverage Shop,Biryani,200,Beverage Shop,Bellandur
Meghana Foods - MG Road,No,No,3.2/5,974,Marathahalli,Beverage Shop,South Indian,100,Beverage Shop,Marathahalli
Corner House - Electronic City,Yes,No,3.8/5,974,Sarjapur Road,Sweet Shop,Burgers,350,Sweet Shop,Sarjapur Road
Toit - Hebbal,Yes,No,4.1/5,4319,MG Road,Quick Bites,Street Food,150,Quick Bites,MG Road
Chutney's - Indiranagar,Yes,Yes,3.7/5,3981,Banashankari,Bar,North Indian,450,Bar,Banashankari
Burger King - Marathahalli,Yes,Yes,4.5/5,4284,Electronic City,Beverage Shop,Kerala,100,Beverage Shop,Electronic City
Blue Tokai - Banashankari,Yes,No,3.1/5,4154,Koramangala,Delivery,Fast Food,200,Delivery,Koramangala
Brahmin's Coffee Bar - Jayanagar,No,Yes,4.3/5,1507,Whitefield,Casual Dining,Mughlai,350,Casual Dining,Whitefield
Subway - MG Road,Yes,No,4.2/5,4920,Sarjapur Road,Beverage Shop,Cafe Food,150,Beverage Shop,Sarjapur Road
Absolute Barbecues - Jayanagar,No,No,3.4/5,4501,HSR Layout,Lounge,Fast Food,650,Lounge,HSR Layout
Domino's Pizza - Jayanagar,Yes,No,3.4/5,613,Marathahalli,Bar,Andhra,300,Bar,Marathahalli
Corner House - JP Nagar,Yes,Yes,2.8/5,3543,Bellandur,Delivery,North Indian,300,Delivery,Bellandur
Cream Stone - Jayanagar,No,No,3.3/5,383,Marathahalli,Quick Bites,Cafe Food,150,Quick Bites,Marathahalli
Vidyarthi Bhavan - Jayanagar,Yes,No,4.4/5,411,BTM,Pub,Cafe Food,600,Pub,BTM
Corner House - Shivajinagar,Yes,No,3.8/5,3376,Koramangala,Lounge,Street Food,450,Lounge,Koramangala
Brahmin's Coffee Bar - HSR Layout,Yes,No,4.4/5,2775,Marathahalli,Delivery,South Indian,100,Delivery,Marathahalli
Byg Brewski - Whitefield,Yes,No,3.5/5,2283,KR Puram,Sweet Shop,Andhra,200,Sweet Shop,KR Puram
Toit - Bellandur,No,No,NEW,0,Jayanagar,Beverage Shop,Chinese,250,Beverage Shop,Jayanagar
Baskin-Robbins - BTM,Yes,No,3.5/5,4141,Shivajinagar,Beverage Shop,Rajasthani,250,Beverage Shop,Shivajinagar
KFC - Koramangala,No,No,3.2/5,4035,Electronic City,Bakery,Bengali,200,Bakery,Electronic City
Blue Tokai - Yelahanka,No,Yes,3.6/5,221,KR Puram,Casual Dining,Fast Food,300,Casual Dining,KR Puram
Baskin-Robbins - Banashankari,Yes,No,3.5/5,751,HSR Layout,Bar,Cafe Food,650,Bar,HSR Layout
Domino's Pizza - Basavanagudi,No,No,2.9/5,3166,JP Nagar,Dhaba,South Indian,50,Dhaba,JP Nagar
Kanti Sweets - Bellandur,Yes,No,3.8/5,4913,HSR Layout,Fine Dining,Andhra,600,Fine Dining,HSR Layout
Absolute Barbecues - Sarjapur Road,No,Yes,3.8/5,3154,HSR Layout,Quick Bites,Rolls,200,Quick Bites,HSR Layout
Kanti Sweets - Hebbal,Yes,No,4.5/5,1268,Koramangala,Desserts,Cafe Food,200,Desserts,Koramangala
Vidyarthi Bhavan - Basavanagudi,No,No,4.2/5,4105,MG Road,Bakery,Street Food,100,Bakery,MG Road
The Fatty Bao - Koramangala,Yes,Yes,4.5/5,2136,Indiranagar,Quick Bites,Gujarati,50,Quick Bites,Indiranagar
McDonald's - Rajajinagar,Yes,No,4.2/5,2373,MG Road,Dhaba,Italian,100,Dhaba,MG Road
Blue Tokai - KR Puram,Yes,No,4.0/5,2333,MG Road,Bakery,Cafe Food,250,Bakery,MG Road
MTR - Sarjapur Road,No,No,3.1/5,214,Bellandur,Dhaba,Cafe Food,150,Dhaba,Bellandur
Brahmin's Coffee Bar - Hebbal,Yes,No,3.9/5,995,MG Road,Beverage Shop,Gujarati,250,Beverage Shop,MG Road
Absolute Barbecues - Malleshwaram,Yes,Yes,4.1/5,1871,Jayanagar,Lounge,Continental,450,Lounge,Jayanagar
Social - Sarjapur Road,No,No,4.4/5,3210,HSR Layout,Beverage Shop,North Indian,200,Beverage Shop,HSR Layout
Third Wave Coffee - Banashankari,No,No,4.0/5,3450,Sarjapur Road,Food Court,Mughlai,200,Food Court,Sarjapur Road
Meghana Foods - BTM,No,No,4.3/5,1664,Whitefield,Café,North Indian,550,Café,Whitefield
Hotel Suprabhatha - Hebbal,No,No,NEW,0,Indiranagar,Sweet Shop,Gujarati,250,Sweet Shop,Indiranagar
Wow Momo - Whitefield,No,No,NEW,0,Rajajinagar,Lounge,Italian,250,Lounge,Rajajinagar
Punjabi Dhaba - Yelahanka,No,No,3.9/5,611,Yelahanka,Café,Kerala,400,Café,Yelahanka
Baskin-Robbins - MG Road,Yes,Yes,4.4/5,4924,Basavanagudi,Sweet Shop,South Indian,150,Sweet Shop,Basavanagudi
Absolute Barbecues - KR Puram,Yes,No,3.8/5,905,Shivajinagar,Mess,Street Food,150,Mess,Shivajinagar
Cream Stone - JP Nagar,No,No,3.7/5,4452,Jayanagar,Dhaba,Biryani,200,Dhaba,Jayanagar
Kanti Sweets - Bellandur,Yes,No,NEW,0,BTM,Dhaba,Beverages,150,Dhaba,BTM
Baskin-Robbins - Banashankari,Yes,No,3.3/5,4360,HSR Layout,Bar,Cafe Food,550,Bar,HSR Layout
Nandhini Hotel - Marathahalli,Yes,No,4.7/5,4095,BTM,Fine Dining,Italian,450,Fine Dining,BTM
Domino's Pizza - Rajajinagar,No,Yes,3.3/5,1106,HSR Layout,Delivery,Mughlai,200,Delivery,HSR Layout
Hotel Suprabhatha - Rajajinagar,Yes,No,2.9/5,227,Koramangala,Mess,Street Food,50,Mess,Koramangala
Nandhini Hotel - Yelahanka,Yes,No,3.9/5,1988,Jayanagar,Pub,Rajasthani,550,Pub,Jayanagar
New Krishna Bhavan - MG Road,Yes,No,4.7/5,2178,Koramangala,Casual Dining,Andhra,450,Casual Dining,Koramangala
Starbucks - Marathahalli,Yes,No,4.1/5,4007,MG Road,Café,Rolls,400,Café,MG Road
Subway - HSR Layout,Yes,Yes,4.2/5,4640,HSR Layout,Pub,Rajasthani,950,Pub,HSR Layout
Subway - JP Nagar,Yes,No,3.9/5,243,JP Nagar,Delivery,Andhra,250,Delivery,JP Nagar
Byg Brewski - MG Road,Yes,Yes,3.8/5,1249,HSR Layout,Desserts,Continental,100,Desserts,HSR Layout
Corner House - KR Puram,No,Yes,2.9/5,443,HSR Layout,Pub,Gujarati,650,Pub,HSR Layout
Café Coffee Day - Hebbal,Yes,No,2.7/5,614,Malleshwaram,Delivery,South Indian,250,Delivery,Malleshwaram
Dindigul Thalappakatti - HSR Layout,No,No,3.8/5,3780,Bellandur,Lounge,Bengali,950,Lounge,Bellandur
Smoke House Deli - Bellandur,No,No,4.4/5,824,Yelahanka,Pub,Cafe Food,800,Pub,Yelahanka
Meghana Foods - Marathahalli,Yes,Yes,4.0/5,3532,HSR Layout,Food Court,Biryani,300,Food Court,HSR Layout
Shivaji Military Hotel - Bellandur,No,No,4.0/5,935,Whitefield,Sweet Shop,Rajasthani,300,Sweet Shop,Whitefield
The Fatty Bao - Sarjapur Road,Yes,No,4.6/5,1744,JP Nagar,Food Court,Cafe Food,250,Food Court,JP Nagar
KFC - Banashankari,No,No,3.9/5,4477,Yelahanka,Food Court,Chinese,350,Food Court,Yelahanka
Domino's Pizza - Electronic City,Yes,No,3.8/5,2686,Jayanagar,Quick Bites,Desserts,150,Quick Bites,Jayanagar
Cream Stone - KR Puram,No,No,3.3/5,521,Koramangala,Desserts,Biryani,150,Desserts,Koramangala
Subway - Koramangala,Yes,No,4.9/5,4937,HSR Layout,Food Court,Rajasthani,100,Food Court,HSR Layout
New Krishna Bhavan - Whitefield,Yes,No,4.1/5,1876,Sarjapur Road,Bakery,North Indian,250,Bakery,Sarjapur Road
Barbeque Nation - Koramangala,Yes,No,3.4/5,4032,Indiranagar,Lounge,Desserts,700,Lounge,Indiranagar
Hotel Suprabhatha - MG Road,No,Yes,3.1/5,2205,Rajajinagar,Sweet Shop,Rajasthani,200,Sweet Shop,Rajajinagar
Blue Tokai - Whitefield,No,No,NEW,0,Banashankari,Casual Dining,Continental,450,Casual Dining,Banashankari
Starbucks - Banashankari,Yes,Yes,3.3/5,2553,Koramangala,Mess,Beverages,150,Mess,Koramangala
Cream Stone - Yelahanka,Yes,Yes,4.8/5,2868,Rajajinagar,Desserts,Beverages,200,Desserts,Rajajinagar
Nandhini Hotel - KR Puram,Yes,Yes,2.5/5,166,MG Road,Mess,Street Food,100,Mess,MG Road
Burger King - MG Road,No,No,4.4/5,2069,Hebbal,Café,Pizza,350,Café,Hebbal
Brahmin's Coffee Bar - BTM,Yes,No,4.1/5,4943,Jayanagar,Quick Bites,Italian,300,Quick Bites,Jayanagar
Shivaji Military Hotel - Whitefield,No,No,3.8/5,2935,BTM,Café,Burgers,350,Café,BTM
Brahmin's Coffee Bar - Shivajinagar,Yes,No,3.8/5,16,Koramangala,Bakery,Andhra,400,Bakery,Koramangala
Dindigul Thalappakatti - Basavanagudi,Yes,Yes,4.8/5,2706,Yelahanka,Beverage Shop,Desserts,150,Beverage Shop,Yelahanka
Subway - KR Puram,Yes,No,4.2/5,2809,Shivajinagar,Lounge,Beverages,500,Lounge,Shivajinagar
Absolute Barbecues - Electronic City,Yes,No,3.4/5,4350,JP Nagar,Delivery,Mughlai,400,Delivery,JP Nagar
Brahmin's Coffee Bar - Banashankari,Yes,No,NEW,0,Malleshwaram,Bar,Mughlai,750,Bar,Malleshwaram
Pizza Hut - Bellandur,Yes,No,3.9/5,327,Malleshwaram,Desserts,Rajasthani,250,Desserts,Malleshwaram
Starbucks - Indiranagar,No,Yes,3.7/5,3451,Malleshwaram,Bakery,Chinese,150,Bakery,Malleshwaram
Rajadhani - Shivajinagar,Yes,Yes,3.1/5,1997,Yelahanka,Quick Bites,Rajasthani,300,Quick Bites,Yelahanka
Sri Sairam Vegetarian - Malleshwaram,Yes,No,NEW,0,Hebbal,Lounge,Continental,900,Lounge,Hebbal
Natural Ice Cream - HSR Layout,Yes,No,3.6/5,2354,Basavanagudi,Mess,Burgers,100,Mess,Basavanagudi
Barbeque Nation - Banashankari,Yes,No,NEW,0,Whitefield,Café,South Indian,50,Café,Whitefield
Shivaji Military Hotel - Shivajinagar,Yes,No,4.2/5,543,Shivajinagar,Food Court,Fast Food,250,Food Court,Shivajinagar
Subway - Hebbal,Yes,No,4.6/5,2382,KR Puram,Café,Mughlai,500,Café,KR Puram
The Only Place - Indiranagar,Yes,No,4.3/5,3450,JP Nagar,Pub,Desserts,750,Pub,JP Nagar
Barbeque Nation - Banashankari,Yes,Yes,3.5/5,3705,HSR Layout,Dhaba,Bengali,100,Dhaba,HSR Layout
Vidyarthi Bhavan - Banashankari,Yes,Yes,4.0/5,2748,Indiranagar,Delivery,Biryani,200,Delivery,Indiranagar
Punjabi Dhaba - Electronic City,Yes,No,3.9/5,1356,BTM,Casual Dining,Kerala,350,Casual Dining,BTM
Kanti Sweets - Shivajinagar,Yes,No,3.2/5,1806,Marathahalli,Delivery,Mughlai,350,Delivery,Marathahalli
New Krishna Bhavan - MG Road,Yes,Yes,4.0/5,1366,Shivajinagar,Desserts,Fast Food,100,Desserts,Shivajinagar
Starbucks - Yelahanka,No,Yes,4.6/5,2853,Indiranagar,Café,Bengali,400,Café,Indiranagar
Wow Momo - Sarjapur Road,Yes,Yes,3.9/5,185,Rajajinagar,Fine Dining,Desserts,1050,Fine Dining,Rajajinagar
Starbucks - Rajajinagar,No,Yes,2.9/5,4205,Indiranagar,Bakery,Mughlai,450,Bakery,Indiranagar
Barbeque Nation - Marathahalli,Yes,Yes,3.9/5,766,Bellandur,Pub,Kerala,750,Pub,Bellandur
Empire Restaurant - HSR Layout,No,No,3.1/5,34,Electronic City,Bakery,Italian,150,Bakery,Electronic City
Corner House - MG Road,No,No,4.1/5,3915,Hebbal,Fine Dining,Gujarati,800,Fine Dining,Hebbal
Toit - Jayanagar,Yes,No,4.1/5,1645,Shivajinagar,Bar,North Indian,400,Bar,Shivajinagar
Barbeque Nation - Hebbal,No,No,NEW,0,Koramangala,Fine Dining,Biryani,900,Fine Dining,Koramangala
Byg Brewski - Whitefield,Yes,No,NEW,0,Marathahalli,Café,Mughlai,450,Café,Marathahalli
The Only Place - Bellandur,Yes,No,3.7/5,4105,Basavanagudi,Beverage Shop,Biryani,100,Beverage Shop,Basavanagudi
Burger King - Koramangala,No,No,3.7/5,3656,Sarjapur Road,Beverage Shop,Rajasthani,200,Beverage Shop,Sarjapur Road
Empire Restaurant - Hebbal,No,No,3.3/5,1659,Jayanagar,Casual Dining,Beverages,300,Casual Dining,Jayanagar
McDonald's - Indiranagar,Yes,No,3.2/5,37,Whitefield,Casual Dining,Mughlai,150,Casual Dining,Whitefield
Byg Brewski - MG Road,Yes,No,4.4/5,1978,BTM,Dhaba,Chinese,350,Dhaba,BTM
Baskin-Robbins - HSR Layout,Yes,No,3.7/5,886,MG Road,Bakery,Fast Food,250,Bakery,MG Road
Toit - Hebbal,Yes,No,3.9/5,2729,JP Nagar,Desserts,Mughlai,250,Desserts,JP Nagar
Vasudev Adiga's - JP Nagar,No,No,3.8/5,3454,KR Puram,Beverage Shop,Mughlai,200,Beverage Shop,KR Puram
Corner House - Electronic City,Yes,No,4.0/5,4674,MG Road,Quick Bites,Biryani,50,Quick Bites,MG Road
Starbucks - HSR Layout,Yes,Yes,3.3/5,3360,Indiranagar,Dhaba,Andhra,200,Dhaba,Indiranagar
The Fatty Bao - Sarjapur Road,Yes,No,3.0/5,2663,Shivajinagar,Desserts,Mughlai,50,Desserts,Shivajinagar
Barbeque Nation - BTM,Yes,No,NEW,0,Hebbal,Mess,Street Food,100,Mess,Hebbal
MTR - Yelahanka,Yes,Yes,4.0/5,4298,Hebbal,Desserts,North Indian,300,Desserts,Hebbal
Punjabi Dhaba - Bellandur,Yes,No,3.5/5,3475,Marathahalli,Delivery,Burgers,300,Delivery,Marathahalli
Third Wave Coffee - KR Puram,No,No,3.5/5,2849,HSR Layout,Sweet Shop,Desserts,150,Sweet Shop,HSR Layout
Kanti Sweets - KR Puram,No,Yes,4.8/5,3377,Basavanagudi,Casual Dining,Rajasthani,400,Casual Dining,Basavanagudi
Starbucks - HSR Layout,Yes,No,2.9/5,2184,Indiranagar,Food Court,Kerala,300,Food Court,Indiranagar
KFC - Marathahalli,No,Yes,3.3/5,4870,Jayanagar,Lounge,Biryani,750,Lounge,Jayanagar
Wow Momo - Shivajinagar,No,No,4.6/5,4713,Whitefield,Dhaba,Cafe Food,150,Dhaba,Whitefield
Third Wave Coffee - Basavanagudi,No,No,3.7/5,2672,Rajajinagar,Delivery,Mughlai,250,Delivery,Rajajinagar
Café Coffee Day - Sarjapur Road,Yes,No,NEW,0,Bellandur,Mess,Andhra,100,Mess,Bellandur
Natural Ice Cream - KR Puram,Yes,No,4.4/5,4233,BTM,Desserts,Rajasthani,250,Desserts,BTM
Vasudev Adiga's - Yelahanka,Yes,No,3.9/5,2462,Sarjapur Road,Delivery,Street Food,250,Delivery,Sarjapur Road
Blue Tokai - KR Puram,Yes,No,3.7/5,3232,Koramangala,Bar,Bengali,250,Bar,Koramangala
Vidyarthi Bhavan - Indiranagar,Yes,No,3.9/5,2667,Yelahanka,Sweet Shop,South Indian,100,Sweet Shop,Yelahanka
Starbucks - Electronic City,Yes,No,3.5/5,247,Hebbal,Beverage Shop,Fast Food,200,Beverage Shop,Hebbal
Nandhini Hotel - Rajajinagar,Yes,No,3.3/5,525,KR Puram,Bakery,Mughlai,250,Bakery,KR Puram
Cream Stone - HSR Layout,No,No,3.6/5,4320,Yelahanka,Delivery,Continental,200,Delivery,Yelahanka
Vasudev Adiga's - BTM,Yes,Yes,3.3/5,1144,Rajajinagar,Sweet Shop,Mughlai,200,Sweet Shop,Rajajinagar
Meghana Foods - Sarjapur Road,Yes,No,3.9/5,4830,Hebbal,Pub,Pizza,600,Pub,Hebbal
The Fatty Bao - Yelahanka,No,No,3.9/5,4816,Malleshwaram,Casual Dining,Bengali,150,Casual Dining,Malleshwaram
Sri Sairam Vegetarian - Bellandur,No,No,4.1/5,462,Koramangala,Sweet Shop,Bengali,350,Sweet Shop,Koramangala
KFC - BTM,No,No,NEW,0,Hebbal,Quick Bites,Desserts,200,Quick Bites,Hebbal
Domino's Pizza - Bellandur,No,No,3.5/5,4116,JP Nagar,Mess,South Indian,100,Mess,JP Nagar
Vasudev Adiga's - BTM,Yes,Yes,4.1/5,1978,Hebbal,Mess,Pizza,100,Mess,Hebbal
Café Coffee Day - Electronic City,No,Yes,3.9/5,3400,HSR Layout,Lounge,Chinese,900,Lounge,HSR Layout
Keventers - JP Nagar,Yes,No,4.0/5,4543,Indiranagar,Café,Continental,350,Café,Indiranagar
Meghana Foods - KR Puram,Yes,No,3.6/5,1963,Basavanagudi,Mess,Bengali,100,Mess,Basavanagudi
Nandhini Hotel - Jayanagar,Yes,No,3.3/5,4350,Sarjapur Road,Beverage Shop,Biryani,100,Beverage Shop,Sarjapur Road
Shivaji Military Hotel - KR Puram,Yes,No,4.1/5,1185,Hebbal,Fine Dining,Burgers,1150,Fine Dining,Hebbal
Café Coffee Day - Hebbal,Yes,No,3.0/5,302,Yelahanka,Fine Dining,Chinese,800,Fine Dining,Yelahanka
Corner House - Marathahalli,Yes,No,3.7/5,776,Yelahanka,Casual Dining,Biryani,500,Casual Dining,Yelahanka
Rajadhani - Hebbal,No,No,2.4/5,3259,Koramangala,Mess,Italian,50,Mess,Koramangala
Vidyarthi Bhavan - MG Road,Yes,No,3.2/5,623,Electronic City,Mess,Biryani,100,Mess,Electronic City
Toit - Rajajinagar,Yes,Yes,3.4/5,3856,Basavanagudi,Casual Dining,Cafe Food,200,Casual Dining,Basavanagudi
Natural Ice Cream - JP Nagar,No,No,4.2/5,1459,Electronic City,Bakery,Pizza,200,Bakery,Electronic City
McDonald's - Shivajinagar,Yes,No,4.2/5,3386,MG Road,Quick Bites,Burgers,200,Quick Bites,MG Road
Kanti Sweets - Electronic City,Yes,No,3.6/5,4775,Electronic City,Bar,Italian,950,Bar,Electronic City
KFC - MG Road,No,No,4.1/5,479,Koramangala,Café,Biryani,350,Café,Koramangala
Shivaji Military Hotel - Jayanagar,Yes,No,4.3/5,4230,Malleshwaram,Mess,Italian,150,Mess,Malleshwaram
The Only Place - Marathahalli,Yes,No,3.8/5,1061,Rajajinagar,Beverage Shop,Mughlai,200,Beverage Shop,Rajajinagar
The Fatty Bao - Electronic City,No,No,3.0/5,287,Hebbal,Casual Dining,South Indian,250,Casual Dining,Hebbal
Social - Malleshwaram,Yes,No,3.7/5,3639,Jayanagar,Mess,North Indian,50,Mess,Jayanagar
Baskin-Robbins - Malleshwaram,Yes,No,3.8/5,1143,Electronic City,Sweet Shop,Kerala,250,Sweet Shop,Electronic City
Kanti Sweets - Shivajinagar,No,Yes,3.1/5,1423,Shivajinagar,Fine Dining,Italian,500,Fine Dining,Shivajinagar
Domino's Pizza - Jayanagar,No,No,3.9/5,657,Jayanagar,Beverage Shop,Kerala,50,Beverage Shop,Jayanagar
Punjabi Dhaba - BTM,Yes,No,4.0/5,3085,JP Nagar,Café,Rajasthani,200,Café,JP Nagar
Smoke House Deli - Koramangala,Yes,No,4.1/5,1739,Basavanagudi,Bar,Desserts,650,Bar,Basavanagudi
KFC - BTM,Yes,No,4.0/5,2516,Rajajinagar,Sweet Shop,Rajasthani,150,Sweet Shop,Rajajinagar
Absolute Barbecues - Whitefield,Yes,No,4.2/5,4988,Yelahanka,Pub,Mughlai,900,Pub,Yelahanka
Sri Sairam Vegetarian - MG Road,Yes,No,3.8/5,2201,BTM,Bakery,Chinese,300,Bakery,BTM
